Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38557434082031,35.2507003581886,26.76799662291043,28.908793360303974,855215656
1,2007-10-08,30.72766876220703,33.48012071257007,30.534513396740614,33.48012071257007,126671715
2,2007-10-09,32.8201789855957,33.109909879074095,29.08585756305142,30.743766243977518,116725709
3,2007-10-10,33.12600326538086,33.80204486122549,32.83627240041195,33.67327388987095,67931378
4,2007-10-11,36.828125,38.630900838195814,32.83626702237896,38.630900838195814,106320954
5,2007-10-12,36.5866813659668,37.954858773820646,35.73358338493293,36.05550748089854,99410791
6,2007-10-15,37.069580078125,37.56856521587449,36.747655873012995,37.3432165257455,41814972
7,2007-10-16,40.8521842956543,41.49603699041757,36.86032553292788,37.117863117732455,138614496
8,2007-10-17,44.03923416137695,45.06938880023695,34.156159031125945,36.69936107341818,204876259
9,2007-10-18,42.493995666503906,48.11157371603889,40.67512512935705,44.74746467056655,146617799
10,2007-10-19,42.34912109375,44.0714156737166,40.24051589844295,41.52821212774516,110266491
11,2007-10-22,41.7857666015625,43.089557680577606,40.40149011755646,41.49603573582313,72253405
12,2007-10-23,44.763553619384766,45.16595870988109,42.81591036155777,42.81591036155777,74594921
13,2007-10-24,44.07143020629883,46.19613055854366,43.57244513307889,45.71323994694737,63055170
14,2007-10-25,43.974849700927734,45.005008755704154,38.84015762118802,42.57447873678274,34522489
15,2007-10-26,45.29473876953125,46.019068113191636,43.54025039055912,44.74746596332643,62370025
16,2007-10-29,46.21221923828125,47.322859209879695,45.80981408427824,46.03516271707007,43657697
17,2007-10-30,47.242374420166016,48.513971985813654,45.455693058727526,46.839969298180996,79921711
18,2007-10-31,48.22425842285156,49.286610944759616,47.32287237369617,47.48383448007225,44655368
19,2007-11-01,47.145809173583984,49.78558933797749,46.7595027566523,49.415377384360156,50632492
20,2007-11-02,47.9989128112793,48.288648114472835,45.069401413739826,45.43961777529227,32001693
21,2007-11-05,48.98077392578125,50.05922075170029,47.67697843783403,47.96671367940626,38833135
22,2007-11-06,49.62461853027344,52.763378903079875,48.94857696131693,49.83386834851875,81880281
23,2007-11-07,48.90028762817383,51.25033203328233,47.80574645821063,50.54210156630636,33593141
24,2007-11-08,48.06329345703125,49.36708906093631,47.00094536470238,47.644793751902014,27990521
25,2007-11-12,49.22222137451172,50.09141844285019,45.34303222596566,46.614634535872625,35153735
26,2007-11-13,50.397239685058594,51.411299937604646,48.46569468349432,50.05922105633523,43830531
27,2007-11-14,49.7372932434082,51.990762246708975,49.47975130891987,51.28252738483562,36738579
28,2007-11-15,50.57429885864258,51.459590287268675,49.62462085229335,50.67087435885146,29242252
29,2007-11-16,50.220184326171875,51.363013399211226,49.64071819218804,50.348953122709595,18895294
30,2007-11-19,52.039058685302734,53.922316111549094,50.976710581459336,51.3630169981404,40716718
31,2007-11-20,51.234249114990234,53.278468676584815,50.60649517281405,51.82980976360265,26342171
32,2007-11-21,47.242374420166016,51.845887269124596,46.09954125390355,51.540061996241,26814499
33,2007-11-22,45.61664581298828,48.642735206840506,43.63681388949391,46.74337992497075,34096185
34,2007-11-23,48.642757415771484,48.93248830357522,45.906397528094054,48.610564124598596,27664090
35,2007-11-26,49.0290641784668,50.445529703313106,48.64275778062298,50.445529703313106,20159123
36,2007-11-27,47.82185745239258,49.8660772602611,47.32287662435764,49.8660772602611,20573198
37,2007-11-28,47.11360549926758,49.09344236950106,46.79168137290447,48.86809373449672,16435311
38,2007-11-29,45.84199523925781,48.54615628531334,45.24643489565426,48.28861880145061,25530967
39,2007-11-30,47.61260223388672,47.90233314565016,46.03517449972889,46.67902291092608,18437721
40,2007-12-03,48.28863525390625,48.88419580042367,47.82184349319311,48.19205538977128,16851227
41,2007-12-04,47.66088104248047,49.0129641986734,47.30676360953702,48.61055901723213,14008727
42,2007-12-05,49.56022262573242,49.73728348966601,47.64477696838109,47.74135244589048,27725290
43,2007-12-06,48.642757415771484,51.39520739947117,48.01500352021662,50.63868470560087,24104710
44,2007-12-07,48.43350601196289,49.6407217530561,47.564313298201604,48.948585601437934,11742386
45,2007-12-10,48.48179244995117,49.07734865262381,47.854038591639736,48.90029211124154,8330010
46,2007-12-11,48.25645065307617,49.19002997619143,48.01500749883724,48.916393528112,11685950
47,2007-12-12,48.22425842285156,48.65885698334229,47.32287237369617,47.64479658644832,16342131
48,2007-12-13,47.41943359375,48.9324786840443,47.242377076670465,48.28863045266379,14620172
49,2007-12-14,46.9526481628418,47.693076347841625,46.711205043763215,47.25847786022501,10991851
50,2007-12-17,44.11972427368164,47.48383401020323,43.45977702424418,47.22629202272403,19355678
51,2007-12-18,43.926551818847656,45.391304657090274,42.55837445942605,43.62072219195642,21607783
52,2007-12-19,43.12175369262695,45.7293403817135,42.75154176489192,45.343029625413244,19526912
53,2007-12-20,42.68715286254883,44.03923606971298,42.493997494900256,43.68511862341991,17105204
54,2007-12-24,43.990943908691406,44.68307990419135,42.97687942180443,43.33099683259231,16711519
55,2007-12-26,45.32693099975586,45.87420379318257,44.23238977927809,44.23238977927809,20930094
56,2007-12-27,45.64886474609375,46.90436830324656,45.26255394402678,46.26051987738598,44565277
57,2007-12-28,46.002967834472656,46.19612317496375,45.06938441649492,45.55227058453504,18354518
58,2007-12-31,46.34099197387695,46.61462837525484,45.777624710136024,46.35709080123785,11982308
59,2008-01-01,47.19408416748047,47.628682589582,46.14783080919445,46.58242923129599,16687746
60,2008-01-02,46.93655776977539,47.54821285118241,46.24442164169965,47.1940953725648,13437280
61,2008-01-03,48.868106842041016,49.06126224294266,46.08346327537005,46.64683064761351,31815218
62,2008-01-04,48.61056900024414,50.220190056572434,48.28864478897848,49.576341634041114,28011310
63,2008-01-07,48.20815658569336,49.31879232999904,47.693077050792105,48.30473208819789,15858063
64,2008-01-08,46.56635665893555,48.93250085459698,46.002989201224594,48.25645903206839,13282666
65,2008-01-09,45.8259162902832,46.82388211418148,45.71324195484086,46.61463227200348,13113527
66,2008-01-10,44.73136520385742,47.3228568883294,44.42553555526829,46.035160458691195,18023003
67,2008-01-11,45.40739822387695,45.84199656100336,43.620717141551566,45.34301166786773,11629440
68,2008-01-14,46.099544525146484,46.58243070579431,44.76356029862923,45.487889569600966,10264240
69,2008-01-15,44.699180603027344,47.033130835135736,44.328968680864655,46.83997982626895,11558334
70,2008-01-16,43.78168869018555,44.74746104218779,42.67105310520814,44.37724918052865,14834065
71,2008-01-17,44.95671463012695,45.9546802542309,43.00907112561959,43.94265018053933,16169395
72,2008-01-18,42.864200592041016,44.634782912837544,42.49398443186578,44.586490810988956,13254156
